customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,duration_previous,A,B,C,D,E,F,G,age_average
10000000,2,0,2,g,3,1,2,1,0,2,2,1,2,1,44
10000005,1,0,10,e,4,0,13,0,0,3,2,0,0,2,28
10000007,1,0,11,c,0,0,4,0,0,1,2,0,0,1,43
10000013,2,1,3,d,3,1,3,1,1,3,2,1,1,3,61
10000014,1,0,5,d,3,1,2,1,1,1,1,0,2,2,30
10000016,1,0,6,d,0,0,9,2,0,3,3,0,3,3,24
10000019,1,0,7,d,0,0,4,2,1,2,3,1,2,3,21
10000023,1,1,2,f,3,0,13,1,1,1,3,1,1,2,63
10000025,2,1,15,d,2,0,0,0,0,1,1,0,0,3,34.5
10000026,2,1,5,d,3,1,1,1,1,3,3,1,2,3,58
10000027,1,0,17,e,4,0,1,0,0,2,2,0,0,1,50
10000028,2,1,1,d,1,0,2,1,0,1,3,0,2,3,32
10000031,1,0,15,e,0,0,8,1,1,1,1,0,1,2,25
10000032,1,0,12,e,3,0,14,1,1,3,3,0,2,3,29
10000033,1,1,8,d,3,0,5,2,0,1,1,0,1,2,30
10000034,1,1,8,g,3,0,3,2,1,2,3,0,2,2,61
10000037,2,1,1,g,4,0,5,1,0,1,2,1,2,2,41
10000038,1,0,7,d,0,1,0,1,1,1,1,1,2,2,51
10000039,1,1,4,f,0,0,4,1,1,3,3,1,2,3,49
10000040,1,1,6,e,0,0,5,1,1,3,3,1,2,1,26
10000041,1,1,14,d,0,0,4,0,1,1,1,0,0,3,56
10000042,3,0,9,e,3,1,15,1,1,3,3,1,1,3,41
10000043,1,1,3,f,2,0,4,1,0,3,3,0,0,2,51
10000047,1,1,6,e,3,0,6,1,0,3,3,1,1,3,24
10000048,1,1,10,h,0,0,1,0,0,1,1,0,0,3,52
10000049,1,0,17,c,0,0,7,0,1,1,1,0,0,2,43
10000052,1,1,8,d,1,0,3,2,1,3,3,1,3,3,24
10000054,2,1,7,f,1,1,3,1,1,1,2,1,2,3,75
10000055,1,1,9,e,4,0,15,2,1,4,3,0,1,2,75
10000057,1,1,8,e,0,0,15,1,0,3,3,1,0,2,56
10000059,1,0,5,e,3,0,2,2,1,3,3,1,0,1,42
10000060,1,0,11,f,0,0,0,1,0,1,1,0,2,2,41
10000061,1,1,14,f,0,0,10,2,1,1,1,1,2,3,43
10000062,1,1,2,f,1,0,3,1,1,3,2,1,1,3,43
10000063,1,0,2,g,0,0,1,2,0,3,3,0,3,3,21
10000064,1,0,13,f,0,0,4,0,0,2,2,0,0,2,18
10000066,1,1,5,f,4,0,10,1,0,3,3,0,2,2,68
10000068,1,1,6,e,2,0,9,1,0,3,3,0,0,2,25
10000069,2,0,20,f,0,1,0,0,1,2,2,0,2,1,49
10000072,1,1,2,g,0,0,2,2,0,1,1,0,2,2,26
10000075,1,0,4,h,3,0,8,2,1,1,1,0,2,2,24
10000076,1,0,14,f,0,0,0,2,0,1,1,1,0,2,27
10000077,1,0,2,e,0,0,10,1,0,3,3,0,1,2,32
10000078,2,1,8,d,1,1,15,0,0,1,2,0,0,3,49
10000079,1,1,2,e,4,0,15,1,0,3,3,0,1,2,38
10000080,1,1,2,e,3,0,4,1,0,4,3,0,1,4,43
10000082,1,0,1,f,3,0,2,2,0,3,3,0,0,2,24
10000084,1,0,1,e,3,0,1,1,0,3,3,0,0,1,22
10000086,2,0,6,d,2,1,4,1,1,3,3,1,2,2,38
10000088,1,0,9,f,2,0,4,0,0,2,2,0,0,2,59
10000091,1,1,1,e,1,0,11,1,0,1,1,1,1,3,51
10000092,1,0,8,g,0,1,3,1,0,1,1,0,2,1,37.5
10000094,2,1,1,g,2,1,7,1,1,4,3,0,1,3,56.5
10000095,1,0,13,f,0,0,6.09394972975809,0,0,1,1,0,0,1,23
10000096,1,0,1,h,4,0,5,1,0,3,3,1,2,1,55
10000097,2,1,2,e,0,0,6,1,0,1,2,0,2,2,40
10000098,1,0,2,f,4,0,1,1,1,3,3,1,2,3,28
10000100,1,0,1,e,1,0,0,1,1,3,3,1,1,3,23
10000103,1,1,1,f,3,0,10,2,0,4,3,1,2,3,75
10000104,1,1,10,g,2,0,4,1,0,3,3,1,1,3,71
10000105,1,0,11,g,3,0,5,1,0,3,2,0,1,2,20
10000107,1,0,12,f,4,0,2,1,1,1,2,1,2,3,41
10000108,1,0,11,g,3,0,5,1,0,2,3,0,1,1,21
10000111,1,1,10,f,2,0,8,1,1,3,3,0,2,3,22
10000112,1,1,3,f,3,0,6.09394972975809,1,0,4,3,1,1,3,41
10000113,1,0,15,f,2,0,15,1,1,3,3,1,1,2,55
10000115,2,1,11,g,3,1,9,1,0,3,2,0,0,1,36.5
10000116,1,0,14,e,0,0,7,0,0,3,3,0,0,3,25
10000117,1,1,13,e,1,0,5,1,0,3,2,1,0,2,70
10000118,1,0,3,e,2,0,9,1,1,3,3,1,0,2,25
10000121,1,0,4,f,0,0,1,1,0,1,3,0,2,1,39
10000122,1,0,6,d,0,0,4,2,1,1,2,1,3,2,21
10000123,1,1,4,g,3,0,7,1,0,4,3,0,1,1,37
10000124,4,1,19,d,1,1,15,0,1,3,3,0,0,1,45
10000125,1,1,1,f,2,0,12,1,1,1,3,1,2,4,52
10000126,2,0,8,f,0,1,4,1,1,3,2,1,1,4,37
10000127,1,1,1,e,1,0,4,1,0,3,3,0,2,3,71
10000128,1,0,18,c,0,0,5,0,1,2,3,0,0,2,24
10000129,1,0,12,g,4,0,1,1,1,1,2,1,2,2,54
10000130,2,0,12,d,4,1,8,1,0,2,3,0,2,4,39.5
10000131,1,1,8,d,0,0,15,2,1,1,3,1,2,4,47
10000132,1,0,10,e,0,1,1,2,0,2,3,0,2,3,22.5
10000133,1,0,2,h,4,0,1,1,1,4,3,0,2,2,25
10000134,1,0,7,f,0,0,1,1,0,2,3,1,0,2,42
10000135,1,0,7,d,0,0,1,0,1,1,1,0,0,1,20
10000136,2,0,15,e,0,0,2,0,0,3,3,0,0,3,43.5
10000137,2,1,22,e,0,1,1,1,0,2,3,0,2,2,43
10000138,2,0,2,e,3,1,5,1,1,3,3,0,2,3,55
10000139,1,0,1,d,3,0,7,2,1,3,3,1,2,4,32
10000141,2,1,1,g,3,1,2,1,0,3,3,1,2,4,62.5
10000143,1,1,15,d,0,0,1,0,0,2,3,0,0,2,44
10000144,1,1,9,e,3,0,5,2,1,4,3,1,2,3,75
10000145,1,0,6,e,3,0,13,1,1,1,3,1,2,2,62
10000147,1,1,6,e,0,0,2,1,0,3,3,1,0,1,28
10000148,2,1,12,e,4,1,3,1,1,2,2,1,2,3,33.5
10000150,1,1,5,f,2,1,15,1,0,2,2,0,0,2,72.5
10000151,1,1,14,e,1,0,15,1,1,3,3,0,2,1,75
10000152,1,0,17,d,4,0,0,0,0,1,1,0,0,1,25
10000154,1,1,10,f,0,0,3,0,0,3,3,0,0,1,45
10000155,1,0,3,f,1,0,15,1,0,3,2,0,0,1,65
10000156,1,0,7,e,0,0,2,2,1,1,2,1,1,4,21
10000158,1,0,9,g,4,0,3,2,1,2,2,1,3,3,22
10000159,1,0,7,d,0,0,1,1,0,1,2,1,2,1,22
10000160,1,1,4,f,3,0,14,1,1,4,3,0,1,2,45
10000161,1,0,13,d,3,0,6,0,0,2,2,0,0,2,21
10000162,1,1,1,g,3,0,9,1,0,3,2,1,0,2,33
10000163,1,1,9,e,0,0,4,1,1,1,1,1,2,2,54
10000164,1,1,6,d,3,0,6,1,1,3,3,1,0,2,52
10000165,1,1,16,e,0,1,1,2,1,2,3,0,3,1,55
10000167,1,0,9,g,4,0,1,1,0,2,3,0,2,1,23
10000168,1,0,12,g,0,0,7,1,0,2,3,0,2,2,38
10000169,1,1,7,f,0,0,7,1,0,3,2,1,1,2,67
10000170,1,1,4,e,2,0,9,1,1,4,3,1,1,3,56
10000172,1,0,13,f,0,0,10,0,1,3,3,0,0,3,26
10000173,1,0,4,g,2,0,6,2,1,4,3,1,2,3,21
10000176,1,0,18,d,1,0,13,0,0,1,2,0,0,3,61
10000178,1,0,8,f,0,0,2,0,0,1,2,0,0,1,22
