customer_ID,plan
10000001,1133012
10000002,1112102
10000003,1123102
10000004,0011002
10000006,1033001
10000008,1143123
10000009,2121101
10000010,1033122
10000011,1022112
10000012,0133113
10000015,1033002
10000017,1113111
10000018,1133123
10000020,1113003
10000021,2022131
10000022,0022002
10000024,0032002
10000029,1133124
10000030,1023021
10000035,1013124
10000044,1023024
10000045,2143123
10000046,1033102
10000050,1011021
10000051,0111003
10000053,0033003
10000056,1132112
10000058,1012002
10000065,1133124
10000067,0012002
10000070,1043101
10000071,1131021
10000073,2031102
10000074,1113112
10000081,2013113
10000083,1033012
10000085,1022012
10000087,0012002
10000089,1143113
10000090,1033121
10000093,0022003
10000099,0011002
10000101,1033102
10000102,2033013
10000106,1023122
10000109,0111012
10000110,1033114
10000114,1113123
10000119,1111122
10000120,1133113
10000140,2111132
10000142,0133003
10000146,1033022
10000149,1123103
10000153,1113113
10000157,1133013
10000166,1143112
10000171,1033112
10000174,1043114
10000175,1043022
10000177,1022112
10000181,0011101
10000185,2122122
10000186,2032012
10000195,1123101
10000196,1042022
10000199,0023002
10000201,1123121
10000202,0011003
10000204,2132102
10000207,1133124
10000213,0043003
10000219,2132113
10000222,2133123
10000223,1133022
10000225,0033003
10000226,1012122
10000231,1143102
10000232,1021113
10000233,0011002
10000234,1123003
10000235,1133113
10000237,1133123
10000238,1143122
10000241,1133022
10000244,1112111
10000247,1023121
10000249,0011001
10000251,1032112
10000257,2023123
10000258,1033103
10000260,0123001
10000267,1033101
10000268,1043103
10000270,1033114
10000272,2011022
10000273,1133123
10000274,1113123
10000276,1013022
10000279,1043003
10000280,1023103
10000285,1033103
10000286,0133002
10000289,1133123
10000290,0011002
10000291,1133113
10000292,1133022
10000296,1111021
10000297,2133102
10000298,0033003
10000300,1122032
10000301,0043001
10000302,1143122
10000303,2133123
10000304,1111023
10000309,1122101
10000312,0033002
10000313,1132011
10000315,1132122
10000317,0012003
10000319,1123121
10000322,1133111
10000323,0033002
10000325,1112112
10000326,1122022
10000327,1111112
10000328,0011002
10000329,1022013
10000333,1033002
10000340,0113002
10000341,2011032
10000342,1023014
10000343,0123002
10000352,0122002
10000356,1043022
10000358,0033002
10000364,1113012
10000366,1012001
10000370,1033012
10000372,1112113
10000373,1133104
10000380,1112121
10000382,2113022
10000384,0022002
10000387,1033103
10000390,1123113
10000399,1133102
10000409,2011033
10000413,1113103
10000414,1043013
10000419,1033002
10000421,1143023
10000424,0022002
10000427,1113123
10000431,1133102
10000432,0122012
10000434,2013032
10000436,1133121
10000438,1133002
10000439,1033121
10000440,2143104
10000442,1123123
10000456,1122121
10000461,1111113
10000462,1133121
10000464,0113002
10000466,1033001
10000467,1123123
10000470,0043001
10000472,1122101
10000475,1011021
10000477,1112002
10000480,0033002
10000492,1113023
10000493,1033022
10000496,2023013
10000498,1033002
10000503,2033123
10000506,1032122
10000507,0011002
10000508,2143012
10000513,1133112
10000514,1133124
10000515,2133113
10000517,1133113
10000519,1123122
10000520,2012033
10000522,1033113
10000523,1033023
10000524,1043111
10000525,1033023
10000526,2013003
10000527,1023123
10000528,1133124
10000530,0111004
10000531,0022002
10000535,0023112
10000536,1033012
10000539,1033114
10000540,2111112
10000542,1023113
10000544,2011022
10000545,2011032
10000553,1143102
10000554,1012013
10000555,0032002
10000556,1122122
10000557,0021002
10000559,1122122
10000560,1133012
10000564,1011022
10000570,1133102
10000575,1033123
10000579,0112002
10000582,0123003
10000584,1032002
10000588,2033121
10000591,1133021
10000592,1033024
10000597,1033013
10000599,1033123
10000602,0011002
10000604,1133121
10000605,2023022
10000606,1123011
10000607,2033133
10000610,1033121
10000612,1133103
10000613,1112112
10000617,1023021
10000620,0113123
10000621,2033022
10000623,1133003
10000625,1133102
10000626,0122002
10000627,1121111
10000629,1023013
10000632,2123013
10000634,1033112
10000635,1132112
10000638,0011002
10000641,1031121
10000642,2133102
10000645,0011002
10000646,2012001
10000651,2133123
10000652,0011002
10000653,2132121
10000654,0012012
10000656,1133102
10000657,1123002
10000659,1133101
10000661,1143113
10000662,1133122
10000665,1033113
10000667,1113122
10000672,2013003
10000678,2013102
10000679,2012013
10000681,1133013
10000684,1033123
10000688,1033113
10000696,0033003
10000698,1122114
10000705,0123033
10000707,1013012
10000711,0013002
10000713,1033023
10000714,1133022
10000717,0012002
10000718,1013021
10000723,0111002
10000728,1133021
10000730,0023002
10000737,1033023
10000738,0012002
10000740,1133103
10000741,1032113
10000742,1033022
10000744,2021031
10000745,1133122
10000747,1043002
10000748,0123002
10000750,1121011
10000751,1122002
10000752,2021021
10000754,0023002
10000757,2123121
10000758,1133113
10000760,0023002
10000761,2013102
10000765,2033002
10000766,0033002
10000769,1133111
10000770,0133002
10000771,2112123
10000774,1133104
10000775,1022002
10000777,0033001
10000779,0133003
10000785,1123114
10000786,0111004
10000788,1033002
10000789,1013001
10000790,1043103
10000793,0023002
10000794,0111002
10000797,1143114
10000802,0033002
10000803,2133023
10000807,1133121
10000810,1122121
10000811,1133113
10000814,2133114
10000817,1033012
10000820,1133123
10000824,1033102
10000830,2133123
10000833,1133113
10000834,1023101
10000836,2043003
10000840,1143012
10000843,1011021
10000844,1133121
10000849,1032002
10000859,0113002
10000862,1023021
10000870,2033031
10000872,1133123
10000873,0123003
10000876,0012002
10000878,1023012
10000881,2043104
10000883,0043003
10000884,1111022
10000885,1023023
10000887,2133013
10000893,1133114
10000895,1011022
10000901,0033002
10000902,1133113
10000906,1123102
10000909,1133113
10000910,1133123
10000911,1123111
10000915,1113122
10000916,1022001
10000917,0023002
10000918,1133111
10000920,1122123
10000927,1133123
10000928,1033021
10000938,1113113
10000939,1022112
10000950,0022002
10000952,1133102
10000954,0022002
10000955,1043004
10000956,1112123
10000957,1133113
10000964,0011001
10000968,1043112
10000977,1133114
10000979,1033122
10000981,2011031
10000984,1112122
10000985,0013004
10000986,0033002
10000990,1111022
10000991,1133123
10000995,1143013
10000996,1133121
10000997,1111021
10000998,1011022
10001000,1112023
10001001,0013003
10001005,0011023
10001008,1033023
10001010,1143101
10001011,2033033
10001012,0113002
10001013,1113001
10001015,1133122
10001017,1033022
10001025,1033021
10001026,1122103
10001028,1133001
10001031,0043002
10001033,1033011
10001034,0012001
10001036,0111123
10001042,2033102
10001046,1023123
10001047,1013023
10001052,1011122
10001055,2133101
10001056,1113113
10001058,1113022
10001060,2023013
10001062,2023032
10001065,0022002
10001066,1043023
10001069,2033012
10001075,1033022
10001080,2133113
10001082,1123102
10001085,1033123
