customer_ID,plan,predicted
10000000,1022121,1022121
10000005,0032002,0032002
10000007,0012001,0012001
10000013,1132113,1132113
10000014,1111022,1111022
10000016,2033132,2033033
10000019,2122113,2123123
10000023,1113112,1113112
10000025,0011003,0011003
10000026,1133123,1133123
10000027,0022001,0022001
10000028,1013023,1013023
10000031,0033002,1111012
10000032,1133023,1133023
10000033,2011012,2011012
10000034,0021002,2123022
10000037,1012122,1012122
10000038,1111122,1111122
10000039,1133123,1133123
10000040,1133121,1133121
10000041,0111003,0111003
10000042,1133113,1133113
10000043,1033002,1033002
10000047,1122113,1033113
10000048,0011003,0011003
10000049,0111002,0111002
10000052,2133133,2133133
10000054,1133113,1112123
10000055,1033112,2143012
10000057,1033102,1033102
10000059,2133101,2133101
10000060,1011022,1011022
10000061,2111123,2111123
10000062,1133113,1132113
10000063,2033033,2033033
10000064,0022002,0022002
10000066,1033022,1033022
10000068,1133003,1033002
10000069,0122021,0122021
10000072,2011022,2011022
10000075,2111022,2111022
10000076,2011002,2011102
10000077,1033012,1033012
10000078,0012003,0012003
10000079,1033012,1033012
10000080,1043014,1043014
10000082,2033102,2033002
10000084,1033001,1033001
10000086,1133122,1133122
10000088,0022002,0022002
10000091,1011113,1011113
10000092,1011021,1011021
10000094,1143013,1143013
10000095,0031002,0011001
10000096,1033121,1033121
10000097,1012022,1012022
10000098,1133112,1133123
10000100,1133113,1133113
10000103,2043123,2043123
10000104,1033113,1033113
10000105,0032012,1032012
10000107,1112123,1112123
10000108,1023011,1023011
10000111,1133023,1133023
10000112,1043113,1043113
10000113,1133112,1133112
10000115,1032001,1032001
10000116,0033003,0033003
10000117,1032102,1032102
10000118,1133112,1133102
10000121,1013021,1013021
10000122,1033122,2112132
10000123,1143011,1043011
10000124,0133001,0133001
10000125,1113124,1113124
10000126,1132114,1132114
10000127,1033023,1033023
10000128,0123002,0123002
10000129,1112122,1112122
10000130,1023024,1023024
10000131,2113124,2113124
10000132,2023023,2023023
10000133,1143022,1143022
10000134,1023102,1023102
10000135,0111001,0111001
10000136,0033003,0033003
10000137,1023022,1023022
10000138,1133023,1133023
10000139,2133124,2133124
10000141,1033124,1033124
10000143,0023002,0023002
10000144,2143122,2143123
10000145,1113122,1113122
10000147,1033101,1033101
10000148,1122123,1122123
10000150,1022002,1022002
10000151,1033002,1133021
10000152,0011001,0011001
10000154,0133021,0033001
10000155,1033101,1032001
10000156,1111022,2112114
10000158,2122133,2122133
10000159,2112111,1012121
10000160,1143012,1143012
10000161,0022002,0022002
10000162,1032102,1032102
10000163,1131122,1111122
10000164,1133102,1133102
10000165,2123031,2123031
10000167,1022121,1023021
10000168,1023022,1023022
10000169,1032112,1032112
10000170,1143113,1143113
10000172,0133003,0133003
10000173,2143123,2143123
10000176,0012003,0012003
10000178,1012021,0012001
10000179,1123111,1123111
10000180,2113133,2113133
10000182,1022014,1022014
10000183,1133123,1133123
