customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,duration_previous,A,B,C,D,E,F,G,age_average,cluster
10000000,2,0,2,7,3,1,2,1,0,2,2,1,2,1,44,15
10000005,1,0,10,5,4,0,13,0,0,3,2,0,0,2,28,17
10000007,1,0,11,3,0,0,4,0,0,1,2,0,0,1,43,18
10000013,2,1,3,4,3,1,3,1,1,3,2,1,1,3,61,19
10000014,1,0,5,4,3,1,2,1,1,1,1,0,2,2,30,11
10000016,1,0,6,4,0,0,9,2,0,3,3,0,3,3,24,9
10000019,1,0,7,4,0,0,4,2,1,2,3,1,2,3,21,9
10000023,1,1,2,6,3,0,13,1,1,1,3,1,1,2,63,4
10000025,2,1,15,4,2,0,0,0,0,1,1,0,0,3,34.5,5
10000026,2,1,5,4,3,1,1,1,1,3,3,1,2,3,58,19
10000027,1,0,17,5,4,0,1,0,0,2,2,0,0,1,50,10
10000028,2,1,1,4,1,0,2,1,0,1,3,0,2,3,32,1
10000031,1,0,15,5,0,0,8,1,1,1,1,0,1,2,25,18
10000032,1,0,12,5,3,0,14,1,1,3,3,0,2,3,29,17
10000033,1,1,8,4,3,0,5,2,0,1,1,0,1,2,30,14
10000034,1,1,8,7,3,0,3,2,1,2,3,0,2,2,61,8
10000037,2,1,1,7,4,0,5,1,0,1,2,1,2,2,41,14
10000038,1,0,7,4,0,1,0,1,1,1,1,1,2,2,51,15
10000039,1,1,4,6,0,0,4,1,1,3,3,1,2,3,49,1
10000040,1,1,6,5,0,0,5,1,1,3,3,1,2,1,26,1
10000041,1,1,14,4,0,0,4,0,1,1,1,0,0,3,56,5
10000042,3,0,9,5,3,1,15,1,1,3,3,1,1,3,41,16
10000043,1,1,3,6,2,0,4,1,0,3,3,0,0,2,51,3
10000047,1,1,6,5,3,0,6,1,0,3,3,1,1,3,24,14
10000048,1,1,10,8,0,0,1,0,0,1,1,0,0,3,52,8
10000049,1,0,17,3,0,0,7,0,1,1,1,0,0,2,43,18
10000052,1,1,8,4,1,0,3,2,1,3,3,1,3,3,24,1
10000054,2,1,7,6,1,1,3,1,1,1,2,1,2,3,75,7
10000055,1,1,9,5,4,0,15,2,1,4,3,0,1,2,75,6
10000057,1,1,8,5,0,0,15,1,0,3,3,1,0,2,56,6
10000059,1,0,5,5,3,0,2,2,1,3,3,1,0,1,42,11
10000060,1,0,11,6,0,0,0,1,0,1,1,0,2,2,41,13
10000061,1,1,14,6,0,0,10,2,1,1,1,1,2,3,43,6
10000062,1,1,2,6,1,0,3,1,1,3,2,1,1,3,43,1
10000063,1,0,2,7,0,0,1,2,0,3,3,0,3,3,21,13
10000064,1,0,13,6,0,0,4,0,0,2,2,0,0,2,18,13
10000066,1,1,5,6,4,0,10,1,0,3,3,0,2,2,68,4
10000068,1,1,6,5,2,0,9,1,0,3,3,0,0,2,25,14
10000069,2,0,20,6,0,1,0,0,1,2,2,0,2,1,49,15
10000072,1,1,2,7,0,0,2,2,0,1,1,0,2,2,26,1
10000075,1,0,4,8,3,0,8,2,1,1,1,0,2,2,24,20
10000076,1,0,14,6,0,0,0,2,0,1,1,1,0,2,27,13
10000077,1,0,2,5,0,0,10,1,0,3,3,0,1,2,32,9
10000078,2,1,8,4,1,1,15,0,0,1,2,0,0,3,49,12
10000079,1,1,2,5,4,0,15,1,0,3,3,0,1,2,38,4
10000080,1,1,2,5,3,0,4,1,0,4,3,0,1,4,43,14
10000082,1,0,1,6,3,0,2,2,0,3,3,0,0,2,24,20
10000084,1,0,1,5,3,0,1,1,0,3,3,0,0,1,22,11
10000086,2,0,6,4,2,1,4,1,1,3,3,1,2,2,38,15
10000088,1,0,9,6,2,0,4,0,0,2,2,0,0,2,59,2
10000091,1,1,1,5,1,0,11,1,0,1,1,1,1,3,51,4
10000092,1,0,8,7,0,1,3,1,0,1,1,0,2,1,37.5,15
10000094,2,1,1,7,2,1,7,1,1,4,3,0,1,3,56.5,19
10000095,1,0,13,6,0,0,6.09394972975809,0,0,1,1,0,0,1,23,13
10000096,1,0,1,8,4,0,5,1,0,3,3,1,2,1,55,20
10000097,2,1,2,5,0,0,6,1,0,1,2,0,2,2,40,1
10000098,1,0,2,6,4,0,1,1,1,3,3,1,2,3,28,20
10000100,1,0,1,5,1,0,0,1,1,3,3,1,1,3,23,9
10000103,1,1,1,6,3,0,10,2,0,4,3,1,2,3,75,4
10000104,1,1,10,7,2,0,4,1,0,3,3,1,1,3,71,8
10000105,1,0,11,7,3,0,5,1,0,3,2,0,1,2,20,20
10000107,1,0,12,6,4,0,2,1,1,1,2,1,2,3,41,10
10000108,1,0,11,7,3,0,5,1,0,2,3,0,1,1,21,20
10000111,1,1,10,6,2,0,8,1,1,3,3,0,2,3,22,14
10000112,1,1,3,6,3,0,6.09394972975809,1,0,4,3,1,1,3,41,14
10000113,1,0,15,6,2,0,15,1,1,3,3,1,1,2,55,17
10000115,2,1,11,7,3,1,9,1,0,3,2,0,0,1,36.5,19
10000116,1,0,14,5,0,0,7,0,0,3,3,0,0,3,25,18
10000117,1,1,13,5,1,0,5,1,0,3,2,1,0,2,70,5
10000118,1,0,3,5,2,0,9,1,1,3,3,1,0,2,25,11
10000121,1,0,4,6,0,0,1,1,0,1,3,0,2,1,39,13
10000122,1,0,6,4,0,0,4,2,1,1,2,1,3,2,21,9
10000123,1,1,4,7,3,0,7,1,0,4,3,0,1,1,37,8
10000124,4,1,19,4,1,1,15,0,1,3,3,0,0,1,45,16
10000125,1,1,1,6,2,0,12,1,1,1,3,1,2,4,52,4
10000126,2,0,8,6,0,1,4,1,1,3,2,1,1,4,37,15
10000127,1,1,1,5,1,0,4,1,0,3,3,0,2,3,71,3
10000128,1,0,18,3,0,0,5,0,1,2,3,0,0,2,24,18
10000129,1,0,12,7,4,0,1,1,1,1,2,1,2,2,54,20
10000130,2,0,12,4,4,1,8,1,0,2,3,0,2,4,39.5,15
10000131,1,1,8,4,0,0,15,2,1,1,3,1,2,4,47,6
10000132,1,0,10,5,0,1,1,2,0,2,3,0,2,3,22.5,15
10000133,1,0,2,8,4,0,1,1,1,4,3,0,2,2,25,20
10000134,1,0,7,6,0,0,1,1,0,2,3,1,0,2,42,13
10000135,1,0,7,4,0,0,1,0,1,1,1,0,0,1,20,9
10000136,2,0,15,5,0,0,2,0,0,3,3,0,0,3,43.5,18
10000137,2,1,22,5,0,1,1,1,0,2,3,0,2,2,43,16
