customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,duration_previous,A,B,C,D,E,F,G,age_average,cluster
10000028,2,1,1,4,1,0,2,B,A,B,D,A,C,D,32,1
10000039,1,1,4,6,0,0,4,B,B,D,D,B,C,D,49,1
10000040,1,1,6,5,0,0,5,B,B,D,D,B,C,B,26,1
10000052,1,1,8,4,1,0,3,C,B,D,D,B,D,D,24,1
10000062,1,1,2,6,1,0,3,B,B,D,C,B,B,D,43,1
10000072,1,1,2,7,0,0,2,C,A,B,B,A,C,C,26,1
10000097,2,1,2,5,0,0,6,B,A,B,C,A,C,C,40,1
10000147,1,1,6,5,0,0,2,B,A,D,D,B,A,B,28,1
10000154,1,1,10,6,0,0,3,A,A,D,D,A,A,B,45,1
10000163,1,1,9,5,0,0,4,B,B,B,B,B,C,C,54,1
10000182,1,1,5,6,0,0,3,B,A,C,C,A,B,E,42,1
10000198,1,1,8,5,1,0,5,B,B,D,D,A,C,B,35,1
10000208,1,1,4,4,0,0,3,C,A,D,D,B,B,C,25,1
10000218,2,1,8,5,1,0,2,C,B,C,C,A,D,D,39.5,1
10000248,1,1,4,5,0,0,3,B,B,D,C,A,B,C,20,1
10000275,1,1,10,6,0,0,8,B,B,D,D,B,B,C,36,1
10000283,1,1,8,4,0,0,2,B,A,B,B,B,C,D,41,1
10000299,2,1,1,4,0,0,3,B,B,C,C,B,C,B,28.5,1
10000330,1,1,5,5,1,0,9,B,A,D,D,A,C,C,31.5,1
10000331,1,1,10,6,0,0,6,B,A,D,D,B,C,B,28,1
10000345,1,1,1,6,0,0,5,B,A,E,D,A,C,D,36,1
10000359,1,1,1,5,1,0,4,C,A,D,D,B,D,D,27,1
10000453,1,1,8,6,0,0,9,B,A,D,D,A,C,B,24,1
10000459,1,1,9,5,0,0,1,B,B,B,B,B,C,D,50,1
10000460,2,1,14,6,0,0,1,B,B,C,D,A,C,D,29,1
10000485,1,1,7,5,0,0,3,B,B,B,B,B,C,B,26,1
10000486,1,1,12,5,0,0,3,B,A,D,C,A,C,B,42,1
10000577,1,1,9,5,0,0,6,A,A,B,C,A,C,D,22,1
10000683,1,1,10,6,0,0,3,C,B,B,B,A,C,C,53,1
10000708,1,1,2,5,0,0,6,B,B,B,B,B,B,B,33,1
10000732,1,1,8,6,0,0,7,C,B,C,D,B,D,C,33,1
10000735,1,1,7,6,0,0,1,B,A,C,D,A,B,C,23,1
10000762,1,1,6,5,0,0,2,B,B,C,C,B,B,D,22,1
10000768,1,1,1,4,0,0,8,B,A,B,C,A,C,D,28,1
10000781,1,1,4,5,0,0,3,B,B,C,C,B,C,C,32,1
10000799,1,1,8,6,0,0,8,B,B,D,D,B,C,B,34,1
10000826,1,1,8,6,0,0,5,B,B,B,B,B,C,C,31,1
10000854,1,1,4,6,0,0,6,B,A,D,D,A,B,C,41,1
10000861,1,1,11,6,0,0,1,B,B,B,C,B,C,D,53,1
10000890,1,1,1,6,0,0,4,B,A,C,D,B,B,C,24,1
10000932,1,1,5,5,0,0,8,B,B,C,D,B,C,E,33,1
10000941,1,1,6,6,1,0,3,B,A,D,D,B,C,B,36,1
10000959,1,1,2,6,0,0,3,C,B,C,D,B,D,C,54,1
10000962,1,1,2,6,0,0,3,C,A,C,D,A,D,C,25,1
10000972,1,1,6,5,0,0,3,B,B,B,D,A,B,D,49,1
10000976,1,1,3,6,0,0,6,B,B,D,C,B,C,C,42,1
10000988,1,1,1,4,0,0,5,B,A,B,D,A,B,C,49,1
10001007,1,1,8,4,1,0,6,B,A,B,D,A,C,D,23,1
10001032,1,1,5,7,0,0,6,B,B,D,D,B,C,D,30,1
10001053,2,1,6,5,0,0,4,B,B,C,D,B,C,B,29.5,1
10001057,1,1,7,7,0,0,10,C,A,C,D,A,D,C,25,1
10001063,1,1,6,6,0,0,8,C,A,C,B,B,D,D,48,1
10001077,1,1,8,6,0,0,4,B,B,C,C,B,C,E,42,1
10001092,1,1,4,5,1,0,5,B,B,D,D,B,B,D,35,1
10001146,2,1,4,7,0,0,2,B,B,E,D,B,B,C,36.5,1
10001176,1,1,7,7,0,0,9,B,B,D,D,B,B,C,25,1
10001190,1,1,1,5,0,0,1,B,A,D,D,A,C,D,24,1
10001241,1,1,1,6,0,0,3,B,A,D,D,B,C,C,28.5,1
10001242,1,1,12,5,0,0,1,B,B,C,C,B,C,E,36,1
10001248,1,1,4,5,0,0,7,B,B,B,D,B,C,B,28,1
10001258,1,1,5,6,0,0,7,B,B,C,C,A,C,C,23,1
10001265,1,1,7,5,0,0,8,B,B,D,D,A,B,C,38,1
10001280,1,1,13,5,0,0,1,A,A,C,D,A,A,B,27,1
10001323,1,1,11,5,0,0,2,B,B,D,D,A,C,B,38,1
10001327,1,1,3,5,0,0,1,B,A,E,D,A,C,D,25,1
10001412,1,1,11,5,0,0,7,A,A,B,C,A,A,E,23,1
10001423,2,1,4,4,0,0,3,B,B,B,C,B,C,C,24,1
10001431,1,1,7,5,0,0,0,B,B,B,B,B,C,C,39,1
10001444,1,1,1,6,0,0,4,B,A,D,D,A,C,D,31,1
10001492,1,1,1,5,0,0,7,C,A,D,D,A,C,D,23,1
10001516,1,1,8,7,1,0,7,B,B,D,D,A,C,B,23,1
10001559,1,1,10,6,0,0,8,B,A,D,D,A,C,C,43.5,1
10001562,1,1,8,4,0,0,5,B,B,B,C,B,B,B,31.5,1
10001604,1,1,2,6,1,0,3,B,A,B,C,B,C,D,44,1
10001661,1,1,2,5,0,0,2,B,B,B,D,A,B,B,30,1
10001687,1,1,1,5,1,0,5,B,A,D,D,B,A,C,26,1
10001695,1,1,9,5,0,0,12,B,B,D,D,B,B,D,32,1
10001735,1,1,9,5,0,0,5,B,A,D,D,A,A,C,43,1
10001757,1,1,4,7,0,0,3,B,B,B,B,B,B,C,41,1
10001800,1,1,1,7,0,0,9,B,B,D,D,B,A,C,28,1
