customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,duration_previous,A,B,C,D,E,F,G,age_average,cluster
10000000,2,0,2,7,3,1,2,B,A,C,C,B,C,B,44,9
10000005,1,0,10,5,4,0,13,A,A,D,C,A,A,C,28,12
10000007,1,0,11,3,0,0,4,A,A,B,C,A,A,B,43,20
10000013,2,1,3,4,3,1,3,B,B,D,C,B,B,D,61,9
10000014,1,0,5,4,3,1,2,B,B,B,B,A,C,C,30,3
10000016,1,0,6,4,0,0,9,C,A,D,D,A,D,D,24,8
10000019,1,0,7,4,0,0,4,C,B,C,D,B,C,D,21,8
10000023,1,1,2,6,3,0,13,B,B,B,D,B,B,C,63,4
10000025,2,1,15,4,2,0,0,A,A,B,B,A,A,D,34.5,16
10000026,2,1,5,4,3,1,1,B,B,D,D,B,C,D,58,9
10000027,1,0,17,5,4,0,1,A,A,C,C,A,A,B,50,10
10000028,2,1,1,4,1,0,2,B,A,B,D,A,C,D,32,15
10000031,1,0,15,5,0,0,8,B,B,B,B,A,B,C,25,20
10000032,1,0,12,5,3,0,14,B,B,D,D,A,C,D,29,12
10000033,1,1,8,4,3,0,5,C,A,B,B,A,B,C,30,5
10000034,1,1,8,7,3,0,3,C,B,C,D,A,C,C,61,2
10000037,2,1,1,7,4,0,5,B,A,B,C,B,C,C,41,5
10000038,1,0,7,4,0,1,0,B,B,B,B,B,C,C,51,13
10000039,1,1,4,6,0,0,4,B,B,D,D,B,C,D,49,15
10000040,1,1,6,5,0,0,5,B,B,D,D,B,C,B,26,15
10000041,1,1,14,4,0,0,4,A,B,B,B,A,A,D,56,16
10000042,3,0,9,5,3,1,15,B,B,D,D,B,B,D,41,14
10000043,1,1,3,6,2,0,4,B,A,D,D,A,A,C,51,6
10000047,1,1,6,5,3,0,6,B,A,D,D,B,B,D,24,5
10000048,1,1,10,8,0,0,1,A,A,B,B,A,A,D,52,19
10000049,1,0,17,3,0,0,7,A,B,B,B,A,A,C,43,20
