customer_ID,group_size,homeowner,car_age,car_value,risk_factor,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,age_average
10000000,2,0,2,7,3,1,1,2,1,0,2,2,1,2,1,634,44
10000005,1,0,10,5,4,0,3,13,0,0,3,2,0,0,2,731,28
10000007,1,0,11,3,0,0,2,4,0,0,1,2,0,0,1,602,43
10000013,2,1,3,4,3,1,3,3,1,1,3,2,1,1,3,626,61
10000014,1,0,5,4,3,1,1,2,1,1,1,1,0,2,2,614,30
10000016,1,0,6,4,0,0,3,9,2,0,3,3,0,3,3,597,24
10000019,1,0,7,4,0,0,2,4,2,1,2,3,1,2,3,705,21
10000023,1,1,2,6,3,0,1,13,1,1,1,3,1,1,2,607,63
10000025,2,1,15,4,2,0,3,0,0,0,1,1,0,0,3,604,34.5
10000026,2,1,5,4,3,1,3,1,1,1,3,3,1,2,3,578,58
10000027,1,0,17,5,4,0,2,1,0,0,2,2,0,0,1,605,50
10000028,2,1,1,4,1,0,1,2,1,0,1,3,0,2,3,703,32
10000031,1,0,15,5,0,0,2,8,1,1,1,1,0,1,2,665,25
10000032,1,0,12,5,3,0,4,14,1,1,3,3,0,2,3,606,29
10000033,1,1,8,4,3,0,1,5,2,0,1,1,0,1,2,603,30
10000034,1,1,8,7,3,0,3,3,2,1,2,3,0,2,2,600,61
10000037,2,1,1,7,4,0,1,5,1,0,1,2,1,2,2,694,41
10000038,1,0,7,4,0,1,1,0,1,1,1,1,1,2,2,654,51
10000039,1,1,4,6,0,0,2,4,1,1,3,3,1,2,3,646,49
10000040,1,1,6,5,0,0,3,5,1,1,3,3,1,2,1,627,26
10000041,1,1,14,4,0,0,1,4,0,1,1,1,0,0,3,563,56
10000042,3,0,9,5,3,1,3,15,1,1,3,3,1,1,3,701,41
10000043,1,1,3,6,2,0,3,4,1,0,3,3,0,0,2,598,51
10000047,1,1,6,5,3,0,4,6,1,0,3,3,1,1,3,598,24
10000048,1,1,10,8,0,0,1,1,0,0,1,1,0,0,3,562,52
10000049,1,0,17,3,0,0,3,7,0,1,1,1,0,0,2,617,43
10000052,1,1,8,4,1,0,3,3,2,1,3,3,1,3,3,604,24
10000054,2,1,7,6,1,1,1,3,1,1,1,2,1,2,3,614,75
10000055,1,1,9,5,4,0,4,15,2,1,4,3,0,1,2,634,75
10000057,1,1,8,5,0,0,2,15,1,0,3,3,1,0,2,648,56
10000059,1,0,5,5,3,0,3,2,2,1,3,3,1,0,1,721,42
10000060,1,0,11,6,0,0,1,0,1,0,1,1,0,2,2,630,41
10000061,1,1,14,6,0,0,1,10,2,1,1,1,1,2,3,641,43
10000062,1,1,2,6,1,0,3,3,1,1,3,2,1,1,3,670,43
10000063,1,0,2,7,0,0,3,1,2,0,3,3,0,3,3,706,21
10000064,1,0,13,6,0,0,3,4,0,0,2,2,0,0,2,666,18
10000066,1,1,5,6,4,0,3,10,1,0,3,3,0,2,2,613,68
10000068,1,1,6,5,2,0,3,9,1,0,3,3,0,0,2,588,25
10000069,2,0,20,6,0,1,4,0,0,1,2,2,0,2,1,624,49
10000072,1,1,2,7,0,0,1,2,2,0,1,1,0,2,2,662,26
10000075,1,0,4,8,3,0,4,8,2,1,1,1,0,2,2,696,24
10000076,1,0,14,6,0,0,3,0,2,0,1,1,1,0,2,699,27
10000077,1,0,2,5,0,0,3,10,1,0,3,3,0,1,2,599,32
10000078,2,1,8,4,1,1,1,15,0,0,1,2,0,0,3,592,49
10000079,1,1,2,5,4,0,3,15,1,0,3,3,0,1,2,627,38
10000080,1,1,2,5,3,0,4,4,1,0,4,3,0,1,4,676,43
10000082,1,0,1,6,3,0,3,2,2,0,3,3,0,0,2,729,24
10000084,1,0,1,5,3,0,4,1,1,0,3,3,0,0,1,670,22
10000086,2,0,6,4,2,1,3,4,1,1,3,3,1,2,2,654,38
10000088,1,0,9,6,2,0,2,4,0,0,2,2,0,0,2,549,59
10000091,1,1,1,5,1,0,1,11,1,0,1,1,1,1,3,630,51
10000092,1,0,8,7,0,1,1,3,1,0,1,1,0,2,1,683,37.5
10000094,2,1,1,7,2,1,4,7,1,1,4,3,0,1,3,596,56.5
10000095,1,0,13,6,0,0,NA,6.09394972975809,0,0,1,1,0,0,1,589,23
10000096,1,0,1,8,4,0,2,5,1,0,3,3,1,2,1,630,55
10000097,2,1,2,5,0,0,1,6,1,0,1,2,0,2,2,640,40
10000098,1,0,2,6,4,0,3,1,1,1,3,3,1,2,3,687,28
10000100,1,0,1,5,1,0,3,0,1,1,3,3,1,1,3,682,23
10000103,1,1,1,6,3,0,4,10,2,0,4,3,1,2,3,575,75
10000104,1,1,10,7,2,0,3,4,1,0,3,3,1,1,3,616,71
