rank,iterations,lambda_,alpha,A,B,C,D,E,F,G,Aggregate
1,20,0.01,0.01,0.614190436,0.523910153,0.391334825,0.646403942,0.537393438,0.372841695,0.389427785,0.009576431
3,20,0.01,0.01,0.676803183,0.708295107,0.583399478,0.736880083,0.750002577,0.524198786,0.466863899,0.054170232
10,20,0.01,0.01,0.772196394,0.80434805,0.641136389,0.803069818,0.782638724,0.775938315,0.701584389,0.202424517
20,20,0.01,0.01,0.769145131,0.818583843,0.763011679,0.82443897,0.810883526,0.757517344,0.709604264,0.267789587
20,20,0.01,0.05,0.774989949,0.80938882,0.792575947,0.854003237,0.809852694,0.789823625,0.701635931,0.291385335
30,20,0.05,0.8,0.782453174,0.836427548,0.762970446,0.885443619,0.849003701,0.814542981,0.762063314,0.336927502
20,20,0.01,0.5,0.797235308,0.812471008,0.79992578,0.892442969,0.827005742,0.825985218,0.751435434,0.33835005
20,20,0.01,1.5,0.798874331,0.823201971,0.798874331,0.894081992,0.823511221,0.833139193,0.752414724,0.343318661
20,20,0.05,1.5,0.8042862,0.860518096,0.792534713,0.898514571,0.836118298,0.827995341,0.768578173,0.36347143
40,20,0.1,0.8,0.781061551,0.871568617,0.784236514,0.887969158,0.872496366,0.829036481,0.776989764,0.367532909
20,20,0.8,1.5,0.793761404,0.838726304,0.816563412,0.886897092,0.878114402,0.831201229,0.762217939,0.368068942
20,20,0.3,1.5,0.826995433,0.896710614,0.788535084,0.901658609,0.820356874,0.835314249,0.79550351,0.381552227
20,20,0.5,1.5,0.839437578,0.890979187,0.77928852,0.901194735,0.898287788,0.820583657,0.805925223,0.413394633
50,10,0.5,1.5,0.822243297,0.899246462,0.815883062,0.918430249,0.885237452,0.845303013,0.804729458,0.444000041
30,20,0.5,1.5,0.817140678,0.89655599,0.839911761,0.912719438,0.874331248,0.853034255,0.814831614,0.445917389
30,20,0.8,0.8,0.805688132,0.898803204,0.871434609,0.917265408,0.879227701,0.86147677,0.798193982,0.460122257
30,15,0.5,0.8,0.819058026,0.897494047,0.849580967,0.913038996,0.898844437,0.84495253,0.817047903,0.46446206
40,20,0.5,1.2,0.841550784,0.897978538,0.844076323,0.918657032,0.890927646,0.850405632,0.808636312,0.471925285
30,20,0.5,1,0.827376841,0.897813605,0.841241534,0.912368955,0.898854745,0.863651826,0.815017163,0.472760259
30,20,0.5,0.5,0.833335051,0.897421889,0.870341927,0.915884093,0.866033048,0.867672072,0.803925409,0.474244658
40,20,0.5,0.8,0.835448257,0.899607253,0.848890309,0.912420497,0.89213372,0.865620716,0.80729623,0.474337433
30,25,0.5,0.8,0.827449,0.896411673,0.855941201,0.913843045,0.888216557,0.877681452,0.807523013,0.480079168
30,20,0.5,0.8,0.839107712,0.897401272,0.865466091,0.913750271,0.894040759,0.861002587,0.814883155,0.491933738
